"REF_DATE","GEO","DGUID","Age group","Sex","Life stress","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1994","Canada","","Total, 18 years and over","Both sexes","Low life stress","Coefficient of variation for number of persons","Persons","249","units ","0","v4203127","1.1.1.2.4","1.6","","","","1"
"1994","Canada","","Total, 18 years and over","Both sexes","Low life stress","Percent","Percent","239","units ","0","v4203128","1.1.1.2.5","33.8","","","","1"
"1994","Canada","","Total, 18 years and over","Both sexes","Low life stress","Low 95% confidence interval - percent","Percent","239","units ","0","v4203129","1.1.1.2.6","32.8","","","","1"
"1994","Canada","","Total, 18 years and over","Both sexes","Low life stress","High 95% confidence interval - percent","Percent","239","units ","0","v4203130","1.1.1.2.7","34.9","","","","1"
"1994","Canada","","Total, 18 years and over","Both sexes","Low life stress","Coefficient of variation for percent","Percent","239","units ","0","v4203131","1.1.1.2.8","1.6","","","","1"
"1994","Canada","","Total, 18 years and over","Both sexes","Moderate life stress","Number of persons","Persons","249","units ","0","v1703773","1.1.1.3.1","7683383","","","","0"
"1994","Canada","","Total, 18 years and over","Both sexes","Moderate life stress","Low 95% confidence interval -  number of persons","Persons","249","units ","0","v1703774","1.1.1.3.2","7455496","","","","0"
"1994","Canada","","Total, 18 years and over","Both sexes","Moderate life stress","High 95% confidence interval - number of persons","Persons","249","units ","0","v1703775","1.1.1.3.3","7911270","","","","0"
"1994","Canada","","Total, 18 years and over","Both sexes","Moderate life stress","Coefficient of variation for number of persons","Persons","249","units ","0","v4203135","1.1.1.3.4","1.5","","","","1"
"1994","Canada","","Total, 18 years and over","Both sexes","Moderate life stress","Percent","Percent","239","units ","0","v4203136","1.1.1.3.5","35.9","","","","1"
"1994","Canada","","Total, 18 years and over","Both sexes","Moderate life stress","Low 95% confidence interval - percent","Percent","239","units ","0","v4203137","1.1.1.3.6","34.9","","","","1"
"1994","Canada","","Total, 18 years and over","Both sexes","Moderate life stress","High 95% confidence interval - percent","Percent","239","units ","0","v4203138","1.1.1.3.7","37.0","","","","1"
"1994","Canada","","Total, 18 years and over","Both sexes","Moderate life stress","Coefficient of variation for percent","Percent","239","units ","0","v4203139","1.1.1.3.8","1.5","","","","1"
"1994","Canada","","Total, 18 years and over","Both sexes","High life stress","Number of persons","Persons","249","units ","0","v1703776","1.1.1.4.1","5247736","","","","0"
"1994","Canada","","Total, 18 years and over","Both sexes","High life stress","Low 95% confidence interval -  number of persons","Persons","249","units ","0","v1703777","1.1.1.4.2","5037704","","","","0"
"1994","Canada","","Total, 18 years and over","Both sexes","High life stress","High 95% confidence interval - number of persons","Persons","249","units ","0","v1703778","1.1.1.4.3","5457768","","","","0"
"1994","Canada","","Total, 18 years and over","Both sexes","High life stress","Coefficient of variation for number of persons","Persons","249","units ","0","v4203143","1.1.1.4.4","2.0","","","","1"
"1994","Canada","","Total, 18 years and over","Both sexes","High life stress","Percent","Percent","239","units ","0","v4203144","1.1.1.4.5","24.5","","","","1"
"1994","Canada","","Total, 18 years and over","Both sexes","High life stress","Low 95% confidence interval - percent","Percent","239","units ","0","v4203145","1.1.1.4.6","23.6","","","","1"
"1994","Canada","","Total, 18 years and over","Both sexes","High life stress","High 95% confidence interval - percent","Percent","239","units ","0","v4203146","1.1.1.4.7","25.5","","","","1"
"1994","Canada","","Total, 18 years and over","Both sexes","High life stress","Coefficient of variation for percent","Percent","239","units ","0","v4203147","1.1.1.4.8","2.0","","","","1"
"1994","Canada","","Total, 18 years and over","Both sexes","Life stress, not stated","Number of persons","Persons","249","units ","0","v1703779","1.1.1.5.1","1224964","","","","0"
"1994","Canada","","Total, 18 years and over","Both sexes","Life stress, not stated","Low 95% confidence interval -  number of persons","Persons","249","units ","0","v1703780","1.1.1.5.2","1110052","","","","0"
"1994","Canada","","Total, 18 years and over","Both sexes","Life stress, not stated","High 95% confidence interval - number of persons","Persons","249","units ","0","v1703781","1.1.1.5.3","1339876","","","","0"
"1994","Canada","","Total, 18 years and over","Both sexes","Life stress, not stated","Coefficient of variation for number of persons","Persons","249","units ","0","v4203151","1.1.1.5.4","4.8","","","","1"
"1994","Canada","","Total, 18 years and over","Both sexes","Life stress, not stated","Percent","Percent","239","units ","0","v4203152","1.1.1.5.5","5.7","","","","1"
"1994","Canada","","Total, 18 years and over","Both sexes","Life stress, not stated","Low 95% confidence interval - percent","Percent","239","units ","0","v4203153","1.1.1.5.6","5.2","","","","1"
"1994","Canada","","Total, 18 years and over","Both sexes","Life stress, not stated","High 95% confidence interval - percent","Percent","239","units ","0","v4203154","1.1.1.5.7","6.3","","","","1"
"1994","Canada","","Total, 18 years and over","Both sexes","Life stress, not stated","Coefficient of variation for percent","Percent","239","units ","0","v4203155","1.1.1.5.8","4.8","","","","1"
"1994","Canada","","Total, 18 years and over","Men","Total population for the variable life stress","Number of persons","Persons","249","units ","0","v1703782","1.1.2.1.1","10486759","","","","0"
"1994","Canada","","Total, 18 years and over","Men","Total population for the variable life stress","Low 95% confidence interval -  number of persons","Persons","249","units ","0","v1703783","1.1.2.1.2","10398629","","","","0"
"1994","Canada","","Total, 18 years and over","Men","Total population for the variable life stress","High 95% confidence interval - number of persons","Persons","249","units ","0","v1703784","1.1.2.1.3","10574889","","","","0"
"1994","Canada","","Total, 18 years and over","Men","Total population for the variable life stress","Coefficient of variation for number of persons","Persons","249","units ","0","v4203159","1.1.2.1.4","0.4","","","","1"
"1994","Canada","","Total, 18 years and over","Men","Total population for the variable life stress","Percent","Percent","239","units ","0","v4203160","1.1.2.1.5","100.0","","","","1"
"1994","Canada","","Total, 18 years and over","Men","Total population for the variable life stress","Low 95% confidence interval - percent","Percent","239","units ","0","v4203161","1.1.2.1.6","100.0","","","","1"
"1994","Canada","","Total, 18 years and over","Men","Total population for the variable life stress","High 95% confidence interval - percent","Percent","239","units ","0","v4203162","1.1.2.1.7","100.0","","","","1"
"1994","Canada","","Total, 18 years and over","Men","Total population for the variable life stress","Coefficient of variation for percent","Percent","239","units ","0","v4203163","1.1.2.1.8","0.0","","","","1"
"1994","Canada","","Total, 18 years and over","Men","Low life stress","Number of persons","Persons","249","units ","0","v1703785","1.1.2.2.1","3594781","","","","0"
"1994","Canada","","Total, 18 years and over","Men","Low life stress","Low 95% confidence interval -  number of persons","Persons","249","units ","0","v1703786","1.1.2.2.2","3423635","","","","0"
"1994","Canada","","Total, 18 years and over","Men","Low life stress","High 95% confidence interval - number of persons","Persons","249","units ","0","v1703787","1.1.2.2.3","3765927","","","","0"
"1994","Canada","","Total, 18 years and over","Men","Low life stress","Coefficient of variation for number of persons","Persons","249","units ","0","v4203167","1.1.2.2.4","2.4","","","","1"
"1994","Canada","","Total, 18 years and over","Men","Low life stress","Percent","Percent","239","units ","0","v4203168","1.1.2.2.5","34.3","","","","1"
"1994","Canada","","Total, 18 years and over","Men","Low life stress","Low 95% confidence interval - percent","Percent","239","units ","0","v4203169","1.1.2.2.6","32.7","","","","1"
"1994","Canada","","Total, 18 years and over","Men","Low life stress","High 95% confidence interval - percent","Percent","239","units ","0","v4203170","1.1.2.2.7","35.9","","","","1"
"1994","Canada","","Total, 18 years and over","Men","Low life stress","Coefficient of variation for percent","Percent","239","units ","0","v4203171","1.1.2.2.8","2.4","","","","1"
"1994","Canada","","Total, 18 years and over","Men","Moderate life stress","Number of persons","Persons","249","units ","0","v1703788","1.1.2.3.1","3786833","","","","0"
"1994","Canada","","Total, 18 years and over","Men","Moderate life stress","Low 95% confidence interval -  number of persons","Persons","249","units ","0","v1703789","1.1.2.3.2","3628605","","","","0"
"1994","Canada","","Total, 18 years and over","Men","Moderate life stress","High 95% confidence interval - number of persons","Persons","249","units ","0","v1703790","1.1.2.3.3","3945060","","","","0"
"1994","Canada","","Total, 18 years and over","Men","Moderate life stress","Coefficient of variation for number of persons","Persons","249","units ","0","v4203175","1.1.2.3.4","2.1","","","","1"
"1994","Canada","","Total, 18 years and over","Men","Moderate life stress","Percent","Percent","239","units ","0","v4203176","1.1.2.3.5","36.1","","","","1"
"1994","Canada","","Total, 18 years and over","Men","Moderate life stress","Low 95% confidence interval - percent","Percent","239","units ","0","v4203177","1.1.2.3.6","34.6","","","","1"
"1994","Canada","","Total, 18 years and over","Men","Moderate life stress","High 95% confidence interval - percent","Percent","239","units ","0","v4203178","1.1.2.3.7","37.6","","","","1"
"1994","Canada","","Total, 18 years and over","Men","Moderate life stress","Coefficient of variation for percent","Percent","239","units ","0","v4203179","1.1.2.3.8","2.1","","","","1"
"1994","Canada","","Total, 18 years and over","Men","High life stress","Number of persons","Persons","249","units ","0","v1703791","1.1.2.4.1","2265897","","","","0"
"1994","Canada","","Total, 18 years and over","Men","High life stress","Low 95% confidence interval -  number of persons","Persons","249","units ","0","v1703792","1.1.2.4.2","2119273","","","","0"
"1994","Canada","","Total, 18 years and over","Men","High life stress","High 95% confidence interval - number of persons","Persons","249","units ","0","v1703793","1.1.2.4.3","2412522","","","","0"
"1994","Canada","","Total, 18 years and over","Men","High life stress","Coefficient of variation for number of persons","Persons","249","units ","0","v4203183","1.1.2.4.4","3.3","","","","1"
"1994","Canada","","Total, 18 years and over","Men","High life stress","Percent","Percent","239","units ","0","v4203184","1.1.2.4.5","21.6","","","","1"
"1994","Canada","","Total, 18 years and over","Men","High life stress","Low 95% confidence interval - percent","Percent","239","units ","0","v4203185","1.1.2.4.6","20.2","","","","1"
"1994","Canada","","Total, 18 years and over","Men","High life stress","High 95% confidence interval - percent","Percent","239","units ","0","v4203186","1.1.2.4.7","23.0","","","","1"
"1994","Canada","","Total, 18 years and over","Men","High life stress","Coefficient of variation for percent","Percent","239","units ","0","v4203187","1.1.2.4.8","3.3","","","","1"
"1994","Canada","","Total, 18 years and over","Men","Life stress, not stated","Number of persons","Persons","249","units ","0","v1703794","1.1.2.5.1","839248","","","","0"
"1994","Canada","","Total, 18 years and over","Men","Life stress, not stated","Low 95% confidence interval -  number of persons","Persons","249","units ","0","v1703795","1.1.2.5.2","747355","","","","0"
"1994","Canada","","Total, 18 years and over","Men","Life stress, not stated","High 95% confidence interval - number of persons","Persons","249","units ","0","v1703796","1.1.2.5.3","931140","","","","0"
"1994","Canada","","Total, 18 years and over","Men","Life stress, not stated","Coefficient of variation for number of persons","Persons","249","units ","0","v4203191","1.1.2.5.4","5.6","","","","1"
"1994","Canada","","Total, 18 years and over","Men","Life stress, not stated","Percent","Percent","239","units ","0","v4203192","1.1.2.5.5","8.0","","","","1"
"1994","Canada","","Total, 18 years and over","Men","Life stress, not stated","Low 95% confidence interval - percent","Percent","239","units ","0","v4203193","1.1.2.5.6","7.1","","","","1"
"1994","Canada","","Total, 18 years and over","Men","Life stress, not stated","High 95% confidence interval - percent","Percent","239","units ","0","v4203194","1.1.2.5.7","8.9","","","","1"
"1994","Canada","","Total, 18 years and over","Men","Life stress, not stated","Coefficient of variation for percent","Percent","239","units ","0","v4203195","1.1.2.5.8","5.6","","","","1"
"1994","Canada","","Total, 18 years and over","Women","Total population for the variable life stress","Number of persons","Persons","249","units ","0","v1703797","1.1.3.1.1","10900929","","","","0"
"1994","Canada","","Total, 18 years and over","Women","Total population for the variable life stress","Low 95% confidence interval -  number of persons","Persons","249","units ","0","v1703798","1.1.3.1.2","10817324","","","","0"
"1994","Canada","","Total, 18 years and over","Women","Total population for the variable life stress","High 95% confidence interval - number of persons","Persons","249","units ","0","v1703799","1.1.3.1.3","10984535","","","","0"
"1994","Canada","","Total, 18 years and over","Women","Total population for the variable life stress","Coefficient of variation for number of persons","Persons","249","units ","0","v4203199","1.1.3.1.4","0.4","","","","1"
"1994","Canada","","Total, 18 years and over","Women","Total population for the variable life stress","Percent","Percent","239","units ","0","v4203200","1.1.3.1.5","100.0","","","","1"
"1994","Canada","","Total, 18 years and over","Women","Total population for the variable life stress","Low 95% confidence interval - percent","Percent","239","units ","0","v4203201","1.1.3.1.6","100.0","","","","1"
"1994","Canada","","Total, 18 years and over","Women","Total population for the variable life stress","High 95% confidence interval - percent","Percent","239","units ","0","v4203202","1.1.3.1.7","100.0","","","","1"
"1994","Canada","","Total, 18 years and over","Women","Total population for the variable life stress","Coefficient of variation for percent","Percent","239","units ","0","v4203203","1.1.3.1.8","0.0","","","","1"
"1994","Canada","","Total, 18 years and over","Women","Low life stress","Number of persons","Persons","249","units ","0","v1703800","1.1.3.2.1","3636824","","","","0"
"1994","Canada","","Total, 18 years and over","Women","Low life stress","Low 95% confidence interval -  number of persons","Persons","249","units ","0","v1703801","1.1.3.2.2","3493949","","","","0"
"1994","Canada","","Total, 18 years and over","Women","Low life stress","High 95% confidence interval - number of persons","Persons","249","units ","0","v1703802","1.1.3.2.3","3779700","","","","0"
"1994","Canada","","Total, 18 years and over","Women","Low life stress","Coefficient of variation for number of persons","Persons","249","units ","0","v4203207","1.1.3.2.4","2.0","","","","1"
"1994","Canada","","Total, 18 years and over","Women","Low life stress","Percent","Percent","239","units ","0","v4203208","1.1.3.2.5","33.4","","","","1"
"1994","Canada","","Total, 18 years and over","Women","Low life stress","Low 95% confidence interval - percent","Percent","239","units ","0","v4203209","1.1.3.2.6","32.1","","","","1"
"1994","Canada","","Total, 18 years and over","Women","Low life stress","High 95% confidence interval - percent","Percent","239","units ","0","v4203210","1.1.3.2.7","34.6","","","","1"
"1994","Canada","","Total, 18 years and over","Women","Low life stress","Coefficient of variation for percent","Percent","239","units ","0","v4203211","1.1.3.2.8","2.0","","","","1"
"1994","Canada","","Total, 18 years and over","Women","Moderate life stress","Number of persons","Persons","249","units ","0","v1703803","1.1.3.3.1","3896551","","","","0"
"1994","Canada","","Total, 18 years and over","Women","Moderate life stress","Low 95% confidence interval -  number of persons","Persons","249","units ","0","v1703804","1.1.3.3.2","3751771","","","","0"
"1994","Canada","","Total, 18 years and over","Women","Moderate life stress","High 95% confidence interval - number of persons","Persons","249","units ","0","v1703805","1.1.3.3.3","4041330","","","","0"
"1994","Canada","","Total, 18 years and over","Women","Moderate life stress","Coefficient of variation for number of persons","Persons","249","units ","0","v4203215","1.1.3.3.4","1.9","","","","1"
"1994","Canada","","Total, 18 years and over","Women","Moderate life stress","Percent","Percent","239","units ","0","v4203216","1.1.3.3.5","35.7","","","","1"
"1994","Canada","","Total, 18 years and over","Women","Moderate life stress","Low 95% confidence interval - percent","Percent","239","units ","0","v4203217","1.1.3.3.6","34.4","","","","1"
"1994","Canada","","Total, 18 years and over","Women","Moderate life stress","High 95% confidence interval - percent","Percent","239","units ","0","v4203218","1.1.3.3.7","37.1","","","","1"
"1994","Canada","","Total, 18 years and over","Women","Moderate life stress","Coefficient of variation for percent","Percent","239","units ","0","v4203219","1.1.3.3.8","1.9","","","","1"
"1994","Canada","","Total, 18 years and over","Women","High life stress","Number of persons","Persons","249","units ","0","v1703806","1.1.3.4.1","2981839","","","","0"
"1994","Canada","","Total, 18 years and over","Women","High life stress","Low 95% confidence interval -  number of persons","Persons","249","units ","0","v1703807","1.1.3.4.2","2836321","","","","0"
"1994","Canada","","Total, 18 years and over","Women","High life stress","High 95% confidence interval - number of persons","Persons","249","units ","0","v1703808","1.1.3.4.3","3127357","","","","0"
"1994","Canada","","Total, 18 years and over","Women","High life stress","Coefficient of variation for number of persons","Persons","249","units ","0","v4203223","1.1.3.4.4","2.5","","","","1"
"1994","Canada","","Total, 18 years and over","Women","High life stress","Percent","Percent","239","units ","0","v4203224","1.1.3.4.5","27.4","","","","1"
"1994","Canada","","Total, 18 years and over","Women","High life stress","Low 95% confidence interval - percent","Percent","239","units ","0","v4203225","1.1.3.4.6","26.0","","","","1"
"1994","Canada","","Total, 18 years and over","Women","High life stress","High 95% confidence interval - percent","Percent","239","units ","0","v4203226","1.1.3.4.7","28.7","","","","1"
"1994","Canada","","Total, 18 years and over","Women","High life stress","Coefficient of variation for percent","Percent","239","units ","0","v4203227","1.1.3.4.8","2.4","","","","1"
"1994","Canada","","Total, 18 years and over","Women","Life stress, not stated","Number of persons","Persons","249","units ","0","v1703809","1.1.3.5.1","385716","","","","0"
"1994","Canada","","Total, 18 years and over","Women","Life stress, not stated","Low 95% confidence interval -  number of persons","Persons","249","units ","0","v1703810","1.1.3.5.2","313095","","","","0"
"1994","Canada","","Total, 18 years and over","Women","Life stress, not stated","High 95% confidence interval - number of persons","Persons","249","units ","0","v1703811","1.1.3.5.3","458337","","","","0"
"1994","Canada","","Total, 18 years and over","Women","Life stress, not stated","Coefficient of variation for number of persons","Persons","249","units ","0","v4203231","1.1.3.5.4","9.6","","","","1"
"1994","Canada","","Total, 18 years and over","Women","Life stress, not stated","Percent","Percent","239","units ","0","v4203232","1.1.3.5.5","3.5","","","","1"
"1994","Canada","","Total, 18 years and over","Women","Life stress, not stated","Low 95% confidence interval - percent","Percent","239","units ","0","v4203233","1.1.3.5.6","2.9","","","","1"
"1994","Canada","","Total, 18 years and over","Women","Life stress, not stated","High 95% confidence interval - percent","Percent","239","units ","0","v4203234","1.1.3.5.7","4.2","","","","1"
"1994","Canada","","Total, 18 years and over","Women","Life stress, not stated","Coefficient of variation for percent","Percent","239","units ","0","v4203235","1.1.3.5.8","9.5","","","","1"
"1994","Canada","","18-19 years","Both sexes","Total population for the variable life stress","Number of persons","Persons","249","units ","0","v1703812","1.2.1.1.1","811476","","","","0"
"1994","Canada","","18-19 years","Both sexes","Total population for the variable life stress","Low 95% confidence interval -  number of persons","Persons","249","units ","0","v1703813","1.2.1.1.2","718627","","","","0"
"1994","Canada","","18-19 years","Both sexes","Total population for the variable life stress","High 95% confidence interval - number of persons","Persons","249","units ","0","v1703814","1.2.1.1.3","904326","","","","0"
"1994","Canada","","18-19 years","Both sexes","Total population for the variable life stress","Coefficient of variation for number of persons","Persons","249","units ","0","v4203239","1.2.1.1.4","5.8","","","","1"
"1994","Canada","","18-19 years","Both sexes","Total population for the variable life stress","Percent","Percent","239","units ","0","v4203240","1.2.1.1.5","100.0","","","","1"
"1994","Canada","","18-19 years","Both sexes","Total population for the variable life stress","Low 95% confidence interval - percent","Percent","239","units ","0","v4203241","1.2.1.1.6","100.0","","","","1"
"1994","Canada","","18-19 years","Both sexes","Total population for the variable life stress","High 95% confidence interval - percent","Percent","239","units ","0","v4203242","1.2.1.1.7","100.0","","","","1"
"1994","Canada","","18-19 years","Both sexes","Total population for the variable life stress","Coefficient of variation for percent","Percent","239","units ","0","v4203243","1.2.1.1.8","0.0","","","","1"
"1994","Canada","","18-19 years","Both sexes","Low life stress","Number of persons","Persons","249","units ","0","v1703815","1.2.1.2.1","246341","","","","0"
"1994","Canada","","18-19 years","Both sexes","Low life stress","Low 95% confidence interval -  number of persons","Persons","249","units ","0","v1703816","1.2.1.2.2","198915","","","","0"
"1994","Canada","","18-19 years","Both sexes","Low life stress","High 95% confidence interval - number of persons","Persons","249","units ","0","v1703817","1.2.1.2.3","293766","","","","0"
"1994","Canada","","18-19 years","Both sexes","Low life stress","Coefficient of variation for number of persons","Persons","249","units ","0","v4203247","1.2.1.2.4","9.8","","","","1"
"1994","Canada","","18-19 years","Both sexes","Low life stress","Percent","Percent","239","units ","0","v4203248","1.2.1.2.5","30.4","","","","1"
"1994","Canada","","18-19 years","Both sexes","Low life stress","Low 95% confidence interval - percent","Percent","239","units ","0","v4203249","1.2.1.2.6","25.2","","","","1"
"1994","Canada","","18-19 years","Both sexes","Low life stress","High 95% confidence interval - percent","Percent","239","units ","0","v4203250","1.2.1.2.7","35.5","","","","1"
"1994","Canada","","18-19 years","Both sexes","Low life stress","Coefficient of variation for percent","Percent","239","units ","0","v4203251","1.2.1.2.8","8.6","","","","1"
"1994","Canada","","18-19 years","Both sexes","Moderate life stress","Number of persons","Persons","249","units ","0","v1703818","1.2.1.3.1","233715","","","","0"
"1994","Canada","","18-19 years","Both sexes","Moderate life stress","Low 95% confidence interval -  number of persons","Persons","249","units ","0","v1703819","1.2.1.3.2","190327","","","","0"
"1994","Canada","","18-19 years","Both sexes","Moderate life stress","High 95% confidence interval - number of persons","Persons","249","units ","0","v1703820","1.2.1.3.3","277104","","","","0"
"1994","Canada","","18-19 years","Both sexes","Moderate life stress","Coefficient of variation for number of persons","Persons","249","units ","0","v4203255","1.2.1.3.4","9.5","","","","1"
"1994","Canada","","18-19 years","Both sexes","Moderate life stress","Percent","Percent","239","units ","0","v4203256","1.2.1.3.5","28.8","","","","1"
"1994","Canada","","18-19 years","Both sexes","Moderate life stress","Low 95% confidence interval - percent","Percent","239","units ","0","v4203257","1.2.1.3.6","24.1","","","","1"
"1994","Canada","","18-19 years","Both sexes","Moderate life stress","High 95% confidence interval - percent","Percent","239","units ","0","v4203258","1.2.1.3.7","33.5","","","","1"
"1994","Canada","","18-19 years","Both sexes","Moderate life stress","Coefficient of variation for percent","Percent","239","units ","0","v4203259","1.2.1.3.8","8.4","","","","1"
"1994","Canada","","18-19 years","Both sexes","High life stress","Number of persons","Persons","249","units ","0","v1703821","1.2.1.4.1","282178","","","","0"
"1994","Canada","","18-19 years","Both sexes","High life stress","Low 95% confidence interval -  number of persons","Persons","249","units ","0","v1703822","1.2.1.4.2","220092","","","","0"
"1994","Canada","","18-19 years","Both sexes","High life stress","High 95% confidence interval - number of persons","Persons","249","units ","0","v1703823","1.2.1.4.3","344265","","","","0"
"1994","Canada","","18-19 years","Both sexes","High life stress","Coefficient of variation for number of persons","Persons","249","units ","0","v4203263","1.2.1.4.4","11.2","","","","1"
"1994","Canada","","18-19 years","Both sexes","High life stress","Percent","Percent","239","units ","0","v4203264","1.2.1.4.5","34.8","","","","1"
"1994","Canada","","18-19 years","Both sexes","High life stress","Low 95% confidence interval - percent","Percent","239","units ","0","v4203265","1.2.1.4.6","29.0","","","","1"
"1994","Canada","","18-19 years","Both sexes","High life stress","High 95% confidence interval - percent","Percent","239","units ","0","v4203266","1.2.1.4.7","40.5","","","","1"
"1994","Canada","","18-19 years","Both sexes","High life stress","Coefficient of variation for percent","Percent","239","units ","0","v4203267","1.2.1.4.8","8.4","","","","1"
"1994","Canada","","18-19 years","Both sexes","Life stress, not stated","Number of persons","Persons","249","units ","0","v1703824","1.2.1.5.1","49242","E","","","0"
"1994","Canada","","18-19 years","Both sexes","Life stress, not stated","Low 95% confidence interval -  number of persons","Persons","249","units ","0","v1703825","1.2.1.5.2","25099","E","","","0"
"1994","Canada","","18-19 years","Both sexes","Life stress, not stated","High 95% confidence interval - number of persons","Persons","249","units ","0","v1703826","1.2.1.5.3","73385","E","","","0"
"1994","Canada","","18-19 years","Both sexes","Life stress, not stated","Coefficient of variation for number of persons","Persons","249","units ","0","v4203271","1.2.1.5.4","25.0","E","","","1"
"1994","Canada","","18-19 years","Both sexes","Life stress, not stated","Percent","Percent","239","units ","0","v4203272","1.2.1.5.5","6.1","E","","","1"
"1994","Canada","","18-19 years","Both sexes","Life stress, not stated","Low 95% confidence interval - percent","Percent","239","units ","0","v4203273","1.2.1.5.6","3.2","E","","","1"
"1994","Canada","","18-19 years","Both sexes","Life stress, not stated","High 95% confidence interval - percent","Percent","239","units ","0","v4203274","1.2.1.5.7","9.0","E","","","1"
"1994","Canada","","18-19 years","Both sexes","Life stress, not stated","Coefficient of variation for percent","Percent","239","units ","0","v4203275","1.2.1.5.8","24.3","E","","","1"
"1994","Canada","","18-19 years","Men","Total population for the variable life stress","Number of persons","Persons","249","units ","0","v1703827","1.2.2.1.1","469434","","","","0"
"1994","Canada","","18-19 years","Men","Total population for the variable life stress","Low 95% confidence interval -  number of persons","Persons","249","units ","0","v1703828","1.2.2.1.2","393252","","","","0"
"1994","Canada","","18-19 years","Men","Total population for the variable life stress","High 95% confidence interval - number of persons","Persons","249","units ","0","v1703829","1.2.2.1.3","545616","","","","0"
"1994","Canada","","18-19 years","Men","Total population for the variable life stress","Coefficient of variation for number of persons","Persons","249","units ","0","v4203279","1.2.2.1.4","8.3","","","","1"
"1994","Canada","","18-19 years","Men","Total population for the variable life stress","Percent","Percent","239","units ","0","v4203280","1.2.2.1.5","100.0","","","","1"
"1994","Canada","","18-19 years","Men","Total population for the variable life stress","Low 95% confidence interval - percent","Percent","239","units ","0","v4203281","1.2.2.1.6","100.0","","","","1"
"1994","Canada","","18-19 years","Men","Total population for the variable life stress","High 95% confidence interval - percent","Percent","239","units ","0","v4203282","1.2.2.1.7","100.0","","","","1"
"1994","Canada","","18-19 years","Men","Total population for the variable life stress","Coefficient of variation for percent","Percent","239","units ","0","v4203283","1.2.2.1.8","0.0","","","","1"
"1994","Canada","","18-19 years","Men","Low life stress","Number of persons","Persons","249","units ","0","v1703830","1.2.2.2.1","122848","","","","0"
"1994","Canada","","18-19 years","Men","Low life stress","Low 95% confidence interval -  number of persons","Persons","249","units ","0","v1703831","1.2.2.2.2","89815","","","","0"
"1994","Canada","","18-19 years","Men","Low life stress","High 95% confidence interval - number of persons","Persons","249","units ","0","v1703832","1.2.2.2.3","155882","","","","0"
"1994","Canada","","18-19 years","Men","Low life stress","Coefficient of variation for number of persons","Persons","249","units ","0","v4203287","1.2.2.2.4","13.7","","","","1"
"1994","Canada","","18-19 years","Men","Low life stress","Percent","Percent","239","units ","0","v4203288","1.2.2.2.5","26.2","","","","1"
"1994","Canada","","18-19 years","Men","Low life stress","Low 95% confidence interval - percent","Percent","239","units ","0","v4203289","1.2.2.2.6","19.5","","","","1"
"1994","Canada","","18-19 years","Men","Low life stress","High 95% confidence interval - percent","Percent","239","units ","0","v4203290","1.2.2.2.7","32.8","","","","1"
"1994","Canada","","18-19 years","Men","Low life stress","Coefficient of variation for percent","Percent","239","units ","0","v4203291","1.2.2.2.8","12.9","","","","1"
"1994","Canada","","18-19 years","Men","Moderate life stress","Number of persons","Persons","249","units ","0","v1703833","1.2.2.3.1","138997","","","","0"
